Sample	Sample_ID_Full	Join_ID	sample.title	UMAP1	UMAP2
GSM2402915_6929689168_R06C01.tsv	GSM2402915_6929689168_R06C01	GSM2402915	ATRT, MYC	13.5081684894956	5.63077516825751
GSM2402916_6929689168_R01C02.tsv	GSM2402916_6929689168_R01C02	GSM2402916	ATRT, SHH	13.5441258259214	5.30979509623602
GSM2402917_6164621144_R04C02.tsv	GSM2402917_6164621144_R04C02	GSM2402917	ATRT, SHH	13.7786801166929	5.52810402186468
GSM2402918_6969568004_R01C01.tsv	GSM2402918_6969568004_R01C01	GSM2402918	ATRT, TYR	13.8903382130064	4.10721416743353
GSM2402919_6164621144_R04C01.tsv	GSM2402919_6164621144_R04C01	GSM2402919	ATRT, TYR	13.3175461597837	4.25318022044256
GSM2402920_6164621144_R05C01.tsv	GSM2402920_6164621144_R05C01	GSM2402920	ATRT, TYR	13.8647463627256	4.12096710475042
GSM2402921_6164621144_R02C01.tsv	GSM2402921_6164621144_R02C01	GSM2402921	ATRT, MYC	13.5149443455137	5.80294199259833
GSM2402922_6929689152_R05C02.tsv	GSM2402922_6929689152_R05C02	GSM2402922	LGG, PA/GG ST	2.58454397396219	6.03669138224676
GSM2402923_6929689136_R03C02.tsv	GSM2402923_6929689136_R03C02	GSM2402923	LGG, PA PF	-1.42546948715079	3.33952780039862
GSM2402924_6929689136_R04C02.tsv	GSM2402924_6929689136_R04C02	GSM2402924	LGG, PA PF	2.62992790416849	7.12230606349066
GSM2402925_6929689136_R05C02.tsv	GSM2402925_6929689136_R05C02	GSM2402925	LGG, SEGA	1.32601168827188	6.4500963238056
GSM2402926_6929689136_R06C02.tsv	GSM2402926_6929689136_R06C02	GSM2402926	LGG, PA PF	2.81630471424234	6.98369474680975
GSM2402927_6929689152_R01C01.tsv	GSM2402927_6929689152_R01C01	GSM2402927	LGG, PA PF	-1.42826959415304	3.15989442141607
GSM2402928_6929689152_R02C01.tsv	GSM2402928_6929689152_R02C01	GSM2402928	CONTR, REACT	1.86473468021524	6.41508407862738
GSM2402929_6929689152_R03C01.tsv	GSM2402929_6929689152_R03C01	GSM2402929	LGG, PA MID	3.27008536533487	7.16201801570013
GSM2402930_6929689152_R04C01.tsv	GSM2402930_6929689152_R04C01	GSM2402930	LGG, PA MID	3.34184315876139	7.18205471308783
GSM2402931_6929689152_R06C01.tsv	GSM2402931_6929689152_R06C01	GSM2402931	LGG, PA PF	-1.22218808456289	3.43911881716803
GSM2402932_6929689152_R01C02.tsv	GSM2402932_6929689152_R01C02	GSM2402932	LGG, PA PF	2.65977791027201	7.25482673914984
GSM2402933_6929689161_R03C02.tsv	GSM2402933_6929689161_R03C02	GSM2402933	MB, WNT	-9.72239181323874	-18.0778162929241
GSM2402934_6929689161_R04C02.tsv	GSM2402934_6929689161_R04C02	GSM2402934	MB, WNT	-9.40465709491598	-17.7756140681927
GSM2402935_6929689161_R05C02.tsv	GSM2402935_6929689161_R05C02	GSM2402935	MB, WNT	-9.49326106830465	-17.8560107204144
GSM2402936_6929689161_R06C02.tsv	GSM2402936_6929689161_R06C02	GSM2402936	MB, WNT	-9.47482368274557	-17.8390868159954
GSM2402937_6929689161_R02C02.tsv	GSM2402937_6929689161_R02C02	GSM2402937	MB, WNT	-9.63115569873678	-17.9887030574505
GSM2402938_6969568004_R06C01.tsv	GSM2402938_6969568004_R06C01	GSM2402938	MB, G4	-5.30398628040182	-14.9499876949017
GSM2402939_6969568004_R01C02.tsv	GSM2402939_6969568004_R01C02	GSM2402939	MB, G4	-6.48732921405661	-14.2703116389935
GSM2402940_6969568004_R02C02.tsv	GSM2402940_6969568004_R02C02	GSM2402940	MB, SHH INF	-0.304658322771665	-13.7610304805462
GSM2402941_6969568004_R04C02.tsv	GSM2402941_6969568004_R04C02	GSM2402941	MB, SHH CHL AD	0.935998112717989	-12.6746361705486
GSM2402942_6969568004_R05C02.tsv	GSM2402942_6969568004_R05C02	GSM2402942	MB, SHH INF	0.0637791611350806	-13.5450489970867
GSM2402943_6969568004_R06C02.tsv	GSM2402943_6969568004_R06C02	GSM2402943	MB, G3	-7.80337020679342	-14.5767109843914
GSM2402944_6929689136_R01C01.tsv	GSM2402944_6929689136_R01C01	GSM2402944	MB, G3	-7.47857066913473	-14.3733332606976
GSM2402945_6929689136_R02C01.tsv	GSM2402945_6929689136_R02C01	GSM2402945	MB, G4	-6.1029846362673	-14.8556893321697
GSM2402946_6929689136_R03C01.tsv	GSM2402946_6929689136_R03C01	GSM2402946	MB, G3	-7.48066398425925	-14.0191462489788
GSM2402947_6929689136_R04C01.tsv	GSM2402947_6929689136_R04C01	GSM2402947	MB, WNT	-9.66883155628073	-18.0327208491986
GSM2402948_6929689136_R05C01.tsv	GSM2402948_6929689136_R05C01	GSM2402948	MB, G4	-5.33794233127463	-15.0323765727703
GSM2402949_6929689136_R06C01.tsv	GSM2402949_6929689136_R06C01	GSM2402949	MB, G3	-7.57573386951315	-14.6308300944988
GSM2402950_6929689136_R01C02.tsv	GSM2402950_6929689136_R01C02	GSM2402950	MB, G4	-5.7431442432009	-14.5374539348309
GSM2402951_6969568004_R03C01.tsv	GSM2402951_6969568004_R03C01	GSM2402951	MB, G4	-5.31541845126974	-15.0494168254559
GSM2402952_6969568004_R04C01.tsv	GSM2402952_6969568004_R04C01	GSM2402952	MB, G3	-7.63667938037741	-14.3935292216961
GSM2402953_6164621144_R03C02.tsv	GSM2402953_6164621144_R03C02	GSM2402953	ATRT, TYR	13.3433039493955	4.26077194483832
GSM2402954_6164621144_R02C02.tsv	GSM2402954_6164621144_R02C02	GSM2402954	ATRT, TYR	13.8749497242369	4.12665720255926
GSM2402955_6164621144_R06C01.tsv	GSM2402955_6164621144_R06C01	GSM2402955	ATRT, SHH	13.6900084324278	5.16506881983832
GSM2402956_6164621144_R01C02.tsv	GSM2402956_6164621144_R01C02	GSM2402956	ATRT, TYR	13.7894213505186	4.12979479106024
GSM2402957_6969568004_R02C01.tsv	GSM2402957_6969568004_R02C01	GSM2402957	ATRT, SHH	13.9073975391783	5.22915716441229
GSM2402958_6929718017_R01C01.tsv	GSM2402958_6929718017_R01C01	GSM2402958	ATRT, TYR	13.8691408939756	4.11884231837347
GSM2402959_6929718027_R01C01.tsv	GSM2402959_6929718027_R01C01	GSM2402959	ATRT, SHH	13.8577320881285	5.2344562557514
GSM2402960_6929718027_R02C01.tsv	GSM2402960_6929718027_R02C01	GSM2402960	ATRT, TYR	13.3355944462217	4.29801769526556
GSM2402961_6929718026_R05C02.tsv	GSM2402961_6929718026_R05C02	GSM2402961	ATRT, TYR	13.3157589741148	4.25335998805121
GSM2402962_6929718027_R06C01.tsv	GSM2402962_6929718027_R06C01	GSM2402962	ATRT, SHH	13.8694546528257	5.21103210719183
GSM2402963_6929718027_R04C01.tsv	GSM2402963_6929718027_R04C01	GSM2402963	ATRT, TYR	13.8800528355039	4.12412233622625
GSM2402964_6929718017_R06C01.tsv	GSM2402964_6929718017_R06C01	GSM2402964	LGG, PA PF	-1.31726869865286	3.05121345789984
GSM2402965_6929718017_R01C02.tsv	GSM2402965_6929718017_R01C02	GSM2402965	LGG, PA PF	2.16162994579447	6.5044667270954
GSM2402966_6929718017_R02C02.tsv	GSM2402966_6929718017_R02C02	GSM2402966	CONTR, REACT	-0.69895085616934	5.87728615077093
GSM2402967_6929718017_R06C02.tsv	GSM2402967_6929718017_R06C02	GSM2402967	LGG, PA PF	3.04293850139749	7.11516113551214
GSM2402968_6929718017_R02C01.tsv	GSM2402968_6929718017_R02C01	GSM2402968	LGG, PA PF	-1.48193058296072	3.31067080767706
GSM2402969_6929718026_R01C01.tsv	GSM2402969_6929718026_R01C01	GSM2402969	LGG, PA PF	-1.42060491367209	3.29797930987433
GSM2402970_6929718026_R02C01.tsv	GSM2402970_6929718026_R02C01	GSM2402970	LGG, PA PF	3.05984714702738	7.34554548533514
GSM2402971_6929718017_R03C01.tsv	GSM2402971_6929718017_R03C01	GSM2402971	LGG, PA MID	-0.775490372618315	3.23231311114386
GSM2402972_6929718017_R04C01.tsv	GSM2402972_6929718017_R04C01	GSM2402972	LGG, PA PF	-0.881316869696257	3.34562797816351
GSM2402973_6929718017_R05C01.tsv	GSM2402973_6929718017_R05C01	GSM2402973	LGG, PA MID	2.1915083237089	6.50215788157538
GSM2402974_6929718026_R06C01.tsv	GSM2402974_6929718026_R06C01	GSM2402974	ATRT, MYC	13.4963448353208	5.84045810969427
GSM2402975_6929718026_R01C02.tsv	GSM2402975_6929718026_R01C02	GSM2402975	ATRT, MYC	13.5042641468443	5.76923580439642
GSM2402976_6929718027_R03C02.tsv	GSM2402976_6929718027_R03C02	GSM2402976	EPN, RELA	12.6663677997984	10.276480391341
GSM2402977_6929718027_R04C02.tsv	GSM2402977_6929718027_R04C02	GSM2402977	ATRT, SHH	13.5854361362852	5.12924165995672
GSM2402978_6929718027_R05C02.tsv	GSM2402978_6929718027_R05C02	GSM2402978	PIN T, PB A	-12.3002774409853	0.0934292224223908
GSM2402979_6929689149_R01C01.tsv	GSM2402979_6929689149_R01C01	GSM2402979	EPN, RELA	12.2356617756285	10.4871203449543
GSM2402980_6929689149_R03C01.tsv	GSM2402980_6929689149_R03C01	GSM2402980	EPN, RELA	12.8054468937315	10.4675070789631
GSM2402981_6929718050_R02C01.tsv	GSM2402981_6929718050_R02C01	GSM2402981	MB, SHH CHL AD	0.993730217973116	-12.1159823390667
GSM2402982_6929718049_R01C02.tsv	GSM2402982_6929718049_R01C02	GSM2402982	MB, G3	-7.11347410007345	-14.026612565202
GSM2402983_6929718050_R01C01.tsv	GSM2402983_6929718050_R01C01	GSM2402983	MB, G4	-5.72024795337546	-14.8969576808636
GSM2402984_6929718049_R02C02.tsv	GSM2402984_6929718049_R02C02	GSM2402984	MB, G3	-7.80701371951925	-14.439303681535
GSM2402985_6929718049_R03C02.tsv	GSM2402985_6929718049_R03C02	GSM2402985	MB, G3	-7.77192613407004	-14.5748064967816
GSM2402986_6929718049_R04C02.tsv	GSM2402986_6929718049_R04C02	GSM2402986	MB, G3	-7.60680600925314	-14.4629872295086
GSM2402987_6929718049_R05C02.tsv	GSM2402987_6929718049_R05C02	GSM2402987	MB, G3	-7.07335492893088	-14.3656704875653
